,Date,Area,Region,Trigger,Depth,Width
1,2023-03-02,Avalanche: Squaretop,Salt Lake,,"16""",150'
2,2023-03-02,Avalanche: Bridge Canyon,Ogden,Natural,"16""",150'
3,2023-03-01,Avalanche: Rocky Point,Salt Lake,Natural,"6""",100'
4,2023-03-01,Avalanche: Beaver Creek Canyon,Logan,,"18""",50'
5,2023-03-01,Avalanche: Uintas,Uintas,Natural,,
6,2023-02-28,Avalanche: North Ridge of Logan Dry Canyon,Logan,Natural,"2""",35'
7,2023-02-28,Avalanche: Timpanogos,Provo,Natural,3',"1,000'"
8,2023-02-28,Avalanche: First Dam,Logan,Natural,"12""",70'
9,2023-02-28,Avalanche: South Ridge of Beaver Mountain,Logan,Skier,2',600'
10,2023-02-28,Avalanche: Brighton Perimeter,Salt Lake,Natural,,
11,2023-02-28,Avalanche: Hellgate,Salt Lake,Unknown,,100'
12,2023-02-27,"Avalanche: East faces, Wellsvile Range",Logan,Natural,,
13,2023-02-27,Avalanche: Cache Valley Foothills,Logan,Natural,5',80'
14,2023-02-27,Avalanche: Beaver Mountain Backcountry,Logan,Skier,"18""",20'
15,2023-02-27,Avalanche: Green Canyon Mouth,Logan,Natural,"18""",200'
16,2023-02-27,Avalanche: Ogden Foothills,Ogden,Skier,2.5',60'
17,2023-02-27,Avalanche: Ogden,Ogden,Natural,"12""",50'
18,2023-02-26,Avalanche: BBQ Bowl,Skyline,Natural,"12""",175'
19,2023-02-26,Avalanche: Cutler Ridge,Ogden,Skier,"10""",50'
20,2023-02-26,Avalanche: Mt. Raymond,Salt Lake,Unknown,3',70'
21,2023-02-26,Avalanche: Lake Mountains,Provo,Snowboarder,2',200'
22,2023-02-26,Avalanche: Browns Canyon,Uintas,Skier,2',200'
23,2023-02-25,Avalanche: Pioneer Ridge,Salt Lake,Snowboarder,"15""",60'
24,2023-02-25,Avalanche: Chalk Creek,Uintas,Natural,"12""",70'
25,2023-02-25,Avalanche: Alpine Loop,Provo,Unknown,,
26,2023-02-25,Avalanche: Phone Shot,Skyline,Snowmobiler,"12""",150'
27,2023-02-25,Avalanche: Hoyt Environs,Uintas,Natural,"12""",70'
28,2023-02-25,Avalanche: Ben Lomond Headwall,Ogden,Natural,,
29,2023-02-25,Avalanche: Alexander Basin,Salt Lake,Skier,,
30,2023-02-25,Avalanche: Yellow Jacket,Salt Lake,Skier,"12""",25'
31,2023-02-25,Avalanche: Silver Fork Headwall,Salt Lake,Skier,"12""",30'
32,2023-02-25,Avalanche: Cornice Ridge,Logan,Natural,"12""",100'
33,2023-02-25,Avalanche: Mt Nebo Loop Road,Provo,Natural,,125'
34,2023-02-25,Avalanche: Castle Rock,Logan,Snowmobiler,,125'
35,2023-02-25,Avalanche: Blue Ice,Salt Lake,Unknown,,
36,2023-02-25,Avalanche: Two Dogs,Salt Lake,Snowboarder,"12""",50'
37,2023-02-25,Avalanche: Little Cottonwood Canyon,Salt Lake,Natural,"16""",25'
38,2023-02-25,Avalanche: Old Logway and N. Hells Canyon,Logan,Natural,,
39,2023-02-25,Avalanche: Alexander Basin,Salt Lake,Natural,"18""",250'
40,2023-02-25,Avalanche: White Pine,Salt Lake,Unknown,,
41,2023-02-25,Avalanche: Logan Dry Canyon,Logan,Natural,2.5',60'
42,2023-02-25,Avalanche: Little Bear,Logan,Skier,"12""",60'
43,2023-02-25,Avalanche: Mt. Watson,Uintas,Natural,"12""",150'
44,2023-02-25,Avalanche: Rock Canyon,Provo,Natural,,25'
45,2023-02-24,Avalanche: Figure 8 Bowl,Salt Lake,Natural,2',125'
46,2023-02-24,Avalanche: Aspen Grove,Provo,Unknown,,
47,2023-02-24,Avalanche: White Pine,Salt Lake,Skier,"12""",175'
